Cancer Type,Year,Age Group (years),Age-Specific Rate,Case Count,Population
All Types of Cancer,2020, <1,25.1,908,3618856
All Types of Cancer,2020, 1-4,20.9,3157,15082362
All Types of Cancer,2020, 5-9,12.1,2379,19608494
All Types of Cancer,2020, 10-14,14.2,2857,20107666
All Types of Cancer,2020, 15-19,22.8,4632,20322846
All Types of Cancer,2020, 20-24,35,7334,20935939
All Types of Cancer,2020, 25-29,54,12168,22538631
All Types of Cancer,2020, 30-34,90.7,20106,22171581
All Types of Cancer,2020, 35-39,137.9,29221,21182527
All Types of Cancer,2020, 40-44,215.4,42423,19697310
All Types of Cancer,2020, 45-49,332.5,64397,19366495
All Types of Cancer,2020, 50-54,507.1,100361,19790077
All Types of Cancer,2020, 55-59,756.7,158631,20962367
All Types of Cancer,2020, 60-64,1086.1,219184,20180996
All Types of Cancer,2020, 65-69,1470.6,254958,17336905
All Types of Cancer,2020, 70-74,1729.5,246238,14237499
All Types of Cancer,2020, 75-79,1966.2,190559,9691829
All Types of Cancer,2020, 80-84,2034.3,127717,6278216
All Types of Cancer,2020, 85+,1799.5,116614,6480315
